 ,-1,-1,1,記号,一般,*,*,*,*, ,*,*
　,-1,-1,1,記号,一般,*,*,*,*,　,*,*
	,-1,-1,1,記号,一般,*,*,*,*,	,*,*
!,-1,-1,1,記号,一般,*,*,*,*,!,*,*
"""",-1,-1,1,記号,一般,*,*,*,*,"""",*,*
#,-1,-1,1,記号,一般,*,*,*,*,#,*,*
$,-1,-1,1,記号,一般,*,*,*,*,$,*,*
%,-1,-1,1,記号,一般,*,*,*,*,%,*,*
&,-1,-1,1,記号,一般,*,*,*,*,&,*,*
',-1,-1,1,記号,一般,*,*,*,*,',*,*
(,-1,-1,1,記号,一般,*,*,*,*,(,*,*
),-1,-1,1,記号,一般,*,*,*,*,),*,*
*,-1,-1,1,記号,一般,*,*,*,*,*,*,*
+,-1,-1,1,記号,一般,*,*,*,*,+,*,*
-,-1,-1,1,記号,一般,*,*,*,*,-,*,*
",",-1,-1,1,記号,一般,*,*,*,*,",",*,*
.,-1,-1,1,記号,一般,*,*,*,*,.,*,*
/,-1,-1,1,記号,一般,*,*,*,*,/,*,*
:,-1,-1,1,記号,一般,*,*,*,*,:,*,*
;,-1,-1,1,記号,一般,*,*,*,*,;,*,*
<,-1,-1,1,記号,一般,*,*,*,*,<,*,*
=,-1,-1,1,記号,一般,*,*,*,*,=,*,*
>,-1,-1,1,記号,一般,*,*,*,*,>,*,*
?,-1,-1,1,記号,一般,*,*,*,*,?,*,*
@,-1,-1,1,記号,一般,*,*,*,*,@,*,*
[,-1,-1,1,記号,一般,*,*,*,*,[,*,*
\,-1,-1,1,記号,一般,*,*,*,*,\,*,*
],-1,-1,1,記号,一般,*,*,*,*,],*,*
^,-1,-1,1,記号,一般,*,*,*,*,^,*,*
_,-1,-1,1,記号,一般,*,*,*,*,_,*,*
`,-1,-1,1,記号,一般,*,*,*,*,`,*,*
{,-1,-1,1,記号,一般,*,*,*,*,{,*,*
|,-1,-1,1,記号,一般,*,*,*,*,|,*,*
},-1,-1,1,記号,一般,*,*,*,*,},*,*
~,-1,-1,1,記号,一般,*,*,*,*,~,*,*
、,-1,-1,1,記号,一般,*,*,*,*,、,*,*
。,-1,-1,1,記号,一般,*,*,*,*,。,*,*
，,-1,-1,1,記号,一般,*,*,*,*,，,*,*
．,-1,-1,1,記号,一般,*,*,*,*,．,*,*
・,-1,-1,1,記号,一般,*,*,*,*,・,*,*
：,-1,-1,1,記号,一般,*,*,*,*,：,*,*
；,-1,-1,1,記号,一般,*,*,*,*,；,*,*
？,-1,-1,1,記号,一般,*,*,*,*,？,*,*
！,-1,-1,1,記号,一般,*,*,*,*,！,*,*
゛,-1,-1,1,記号,一般,*,*,*,*,゛,*,*
゜,-1,-1,1,記号,一般,*,*,*,*,゜,*,*
´,-1,-1,1,記号,一般,*,*,*,*,´,*,*
｀,-1,-1,1,記号,一般,*,*,*,*,｀,*,*
¨,-1,-1,1,記号,一般,*,*,*,*,¨,*,*
＾,-1,-1,1,記号,一般,*,*,*,*,＾,*,*
￣,-1,-1,1,記号,一般,*,*,*,*,￣,*,*
